lot,location
1ST ST 200,"(37.78839, -122.395999)"
1ST ST 300,"(37.7853638161016, -122.390775431648)"
2ND ST 200,"(37.786193, -122.397668)"
2ND ST 300,"(37.785396, -122.396669)"
2ND ST 400,"(37.7841129, -122.395186)"
2ND ST 500,"(37.7828015, -122.393689099683)"
2ND ST 600,"(37.7817, -122.392041)"
2ND ST 700,"(37.780461, -122.390491)"
3RD ST 300,"(37.7836044, -122.3989418)"
3RD ST 400,"(37.7179914, -122.3980895)"
3RD ST 500,"(37.78082705, -122.395814940288)"
3RD ST 600,"(37.7745118, -122.3899456)"
3RD ST 700,"(37.7745118, -122.3899456)"
3RD ST 800,"(37.7179914, -122.3980895)"
4TH ST 500,"(37.77930375, -122.398159158151)"
4TH ST 600,"(37.778181, -122.396495)"
5TH ST 400,"(37.778084, -122.400802)"
5TH ST 500,"(37.777653, -122.400262)"
5TH ST 600,"(37.776422, -122.398719)"
16TH ST 3000,"(37.7651622, -122.417975)"
16TH ST 3100,"(37.7650583, -122.4220701)"
17TH ST 3300,"(37.763502, -122.419676)"
18TH ST 3400,"(37.761909, -122.419522)"
19TH ST 3400,"(37.760308, -122.419369)"
20TH ST 3500,"(37.758706, -122.419216)"
21ST ST 3200,"(37.757108, -122.419064)"
22ND ST 3200,"(37.755509, -122.418911)"
23RD ST 3300,"(37.75391, -122.418757)"
ASH ST 300,"(37.779332, -122.423166)"
AVERY ST 0,"(37.7847044, -122.4338502)"
AVILA ST 0,"(37.805512, -122.4403403)"
BARTLETT ST 0,"(37.7489733, -122.4192566)"
BATTERY ST 400,"(37.795448, -122.400413)"
BATTERY ST 500,"(37.796011, -122.40041)"
BAY ST 300,"(37.805887, -122.41212)"
BAY ST 400,"(37.80568, -122.413774)"
BAY ST 500,"(37.8051759, -122.4172352)"
BEACH ST 200,"(37.807752, -122.4125)"
BEACH ST 300,"(37.807545, -122.414145)"
BEACH ST 400,"(37.807338, -122.415786)"
BEACH ST 500,"(37.8071297, -122.4179315)"
BEACH ST 600,"(37.8062198, -122.4239583)"
BEACH ST 700,"(37.8062198, -122.4239583)"
BEACH ST 800,"(37.8064355945946, -122.421584993243)"
BERRY ST 100,"(37.777524, -122.391305)"
BERRY ST 200,"(37.7703193, -122.3990619)"
BERRY ST 300,"(37.773924, -122.39625475)"
BERRY ST 400,"(37.7703193, -122.3990619)"
BLUXOME ST 0,"(37.7759585, -122.3979976)"
BRANNAN ST 200,"(37.7835739, -122.391146009211)"
