,name
25,21ST ST 3200
26,22ND ST 3200
30,AVILA ST 0
57,CALIFORNIA ST 2300
58,CALIFORNIA ST 2400
60,CHESTNUT ST 2000
61,CHESTNUT ST 2100
62,CHESTNUT ST 2200
63,CHESTNUT ST 2300
64,CHESTNUT ST 2400
68,CLAY ST 2500
76,DIVISADERO ST 3200
77,DRUMM ST 200
78,DRUMM ST 300
80,FILLMORE ST 1000
85,FILLMORE ST 1500
86,FILLMORE ST 1600
88,FILLMORE ST 1800
89,FILLMORE ST 1900
90,FILLMORE ST 2000
91,FILLMORE ST 2100
92,FILLMORE ST 2200
93,FILLMORE ST 2300
94,FILLMORE ST 2400
96,FOLSOM ST 0
99,FRANKLIN ST 100
130,HAYES ST 400
131,HAYES ST 500
140,JACKSON ST 0
141,JACKSON ST 100
143,JACKSON ST 2300
144,JACKSON ST 2400
164,LOMBARD ST 2000
165,LOMBARD ST 2100
171,MALLORCA WAY 0
173,MASON ST 2300
181,MERCHANT ST 400
189,MISSION ST 2400
191,MISSION ST 2600
210,PIERCE ST 3200
211,PIERCE ST 3300
212,PINE ST 2300
225,SACRAMENTO ST 2400
226,SACRAMENTO ST 2500
229,SCOTT ST 3200
230,SCOTT ST 3300
238,STEINER ST 3300
242,SUTTER ST 1800
243,SUTTER ST 2000
252,VALENCIA ST 1000
253,VALENCIA ST 1100
254,VALENCIA ST 1200
258,VALENCIA ST 700
269,WASHINGTON ST 0
272,WASHINGTON ST 2400
273,WASHINGTON ST 2500
280,WEBSTER ST 2200
